column,dtype,non_null,null_count,unique_count,mean,std,min,max
vehicle_id,str,13439,0,50,,,,
timestamp,datetime64[us],13439,0,701,,,,
odometer_reading,float64,13439,0,10500,55783.9043,25092.598,11505.1892,101867.2779
engine_temp_c,float64,13439,0,10716,96.0711,6.8387,77.5978,118.5184
engine_rpm,float64,13439,0,10391,1999.5812,764.4192,616.5671,4184.9334
oil_pressure_psi,float64,13439,0,11019,43.5806,11.2671,9.7023,77.4499
coolant_temp_c,float64,13439,0,10476,89.8805,2.9922,80.8732,98.8878
fuel_level_percent,float64,13439,0,10457,48.1576,29.0516,0.0,100.0
fuel_consumption_lph,float64,13439,0,10137,5.1011,2.9048,0.0,13.8228
vibration_level,float64,13439,0,10549,1.6346,0.7777,0.0,4.4165
engine_hours,float64,13439,0,10500,2625.8799,1318.1398,405.8897,5074.6867
brake_fluid_level_psi,float64,13439,0,10411,997.1798,101.2624,680.8362,1311.5349
brake_pad_wear_mm,float64,13439,0,10500,8.0745,1.007,5.8537,9.8659
brake_temp_c,float64,13439,0,9241,83.264,47.5062,20.0,236.1895
abs_fault_indicator,int64,13439,0,2,0.1135,0.3172,0.0,1.0
battery_voltage_v,float64,13439,0,10770,12.5004,0.6406,10.4319,14.5386
battery_current_a,float64,13439,0,7815,12.8645,17.436,-40.3583,66.0055
battery_temp_c,float64,13439,0,10454,24.9143,5.0767,9.6267,40.2015
battery_charge_percent,float64,13439,0,10500,70.0073,17.2563,38.845,101.3739
battery_health_percent,float64,13439,0,10500,94.3086,2.54,90.0054,99.5863
vehicle_speed_kph,float64,13439,0,10265,70.8008,37.7526,0.0,182.3777
gps_latitude,float64,13439,0,10500,31.4851,1.9839,27.8793,35.1483
gps_longitude,float64,13439,0,10500,80.0401,2.9432,74.7814,85.1429
engine_failure_imminent,int64,13439,0,2,0.0272,0.1626,0.0,1.0
brake_issue_imminent,int64,13439,0,1,0.0,0.0,0.0,0.0
battery_issue_imminent,int64,13439,0,1,0.0,0.0,0.0,0.0
failure_type,str,13439,0,10,,,,
organisation_type,str,13439,0,4,,,,
vehicle_type,str,13439,0,5,,,,
tyre_pressure_psi,float64,13439,0,161,29.9096,4.2231,20.0,36.0
fault_indicator,int64,13439,0,2,0.0633,0.2436,0.0,1.0
maintenance_status,str,13439,0,3,,,,
engine_temp_rpm_ratio,float64,13439,0,11036,0.0579,0.0294,0.0219,0.1691
battery_stress_index,float64,13439,0,8443,0.074,0.0825,0.0,0.4786
brake_wear_heat_ratio,float64,13439,0,10500,6.7257,3.9755,1.1802,23.0928
fuel_efficiency_score,float64,13439,0,10272,2901.1182,16481.6953,0.0,155384.1446
combined_failure_risk,int64,13439,0,2,0.0272,0.1626,0.0,1.0
label,int64,13439,0,3,0.881,0.791,0.0,2.0
organisation_type_enc,int64,13439,0,4,1.5067,1.1144,0.0,3.0
vehicle_type_enc,int64,13439,0,5,1.9684,1.4049,0.0,4.0
failure_type_enc,int64,13439,0,10,8.6857,1.3637,0.0,9.0
